Account,Coin,Execution Price,Size Tokens,Size USD,Side,Timestamp IST,Start Position,Direction,Closed PnL,Transaction Hash,Order ID,Crossed,Fee,Trade ID,Timestamp
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,@107,7.9769,986.87,7872.16,BUY,02-12-2024 22:50,0,Buy,0,0xec09451986a1874e3a980418412fcd0201f500c95bac0f37caef8a734502ec49,52017706630,TRUE,0.34540448,8.95E+14,1.73E+12
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,@107,7.98,16,127.68,BUY,02-12-2024 22:50,986.5245955,Buy,0,0xec09451986a1874e3a980418412fcd0201f500c95bac0f37caef8a734502ec49,52017706630,TRUE,0.0056,4.43E+14,1.73E+12
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,@107,7.9855,144.09,1150.63,BUY,02-12-2024 22:50,1002.518996,Buy,0,0xec09451986a1874e3a980418412fcd0201f500c95bac0f37caef8a734502ec49,52017706630,TRUE,0.0504314,6.60E+14,1.73E+12
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,@107,7.9874,142.98,1142.04,BUY,02-12-2024 22:50,1146.558564,Buy,0,0xec09451986a1874e3a980418412fcd0201f500c95bac0f37caef8a734502ec49,52017706630,TRUE,0.05004294,1.08E+15,1.73E+12
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,@107,7.9894,8.73,69.75,BUY,02-12-2024 22:50,1289.488521,Buy,0,0xec09451986a1874e3a980418412fcd0201f500c95bac0f37caef8a734502ec49,52017706630,TRUE,0.00305542,1.05E+15,1.73E+12
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,@107,7.99,1.41,11.27,BUY,02-12-2024 22:50,1298.215466,Buy,0,0xec09451986a1874e3a980418412fcd0201f500c95bac0f37caef8a734502ec49,52017706630,TRUE,0.00049349,7.33E+14,1.73E+12
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,@107,7.9934,144.09,1151.77,BUY,02-12-2024 22:50,1299.624972,Buy,0,0xec09451986a1874e3a980418412fcd0201f500c95bac0f37caef8a734502ec49,52017706630,TRUE,0.05043148,9.06E+14,1.73E+12
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,@107,8,34,272,BUY,02-12-2024 22:50,1443.664541,Buy,0,0xec09451986a1874e3a980418412fcd0201f500c95bac0f37caef8a734502ec49,52017706630,TRUE,0.0119,3.96E+14,1.73E+12
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,@107,8,46,368,BUY,02-12-2024 22:50,1477.652641,Buy,0,0xec09451986a1874e3a980418412fcd0201f500c95bac0f37caef8a734502ec49,52017706630,TRUE,0.0161,9.46E+14,1.73E+12
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,@107,8,12.5,100,BUY,02-12-2024 22:50,1523.636541,Buy,0,0xec09451986a1874e3a980418412fcd0201f500c95bac0f37caef8a734502ec49,52017706630,TRUE,0.004375,3.47E+13,1.73E+12
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,@107,8,1463.33,11706.64,BUY,02-12-2024 22:50,1536.132166,Buy,0,0xec09451986a1874e3a980418412fcd0201f500c95bac0f37caef8a734502ec49,52017706630,TRUE,0.5121655,9.44E+13,1.73E+12
